,ISO_A3,Year,Asylum,Refugees,Asylum-seekers,IDPs,Others in need,Stateless,Host Community,Others of concern,Displaced
0,-99,,,,,,,,,,
226,VAT,,,,,,,,,,
227,VCT,2021.0,Saint Vincent and the Grenadines,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0
228,VEN,2021.0,Venezuela (Bolivarian Republic of),39328.0,516.0,0.0,0.0,0.0,0.0,1389980.0,1429824.0
229,VGB,,,,,,,,,,
230,VIR,,,,,,,,,,
231,VNM,2021.0,Viet Nam,0.0,0.0,0.0,0.0,35475.0,0.0,0.0,35475.0
232,VUT,2021.0,Vanuatu,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0
233,WLF,,,,,,,,,,
234,WSM,,,,,,,,,,
235,YEM,2021.0,Yemen,89467.0,12593.0,4288739.0,0.0,0.0,0.0,15.0,4390814.0
236,ZAF,2021.0,South Africa,75512.0,167411.0,0.0,0.0,0.0,0.0,0.0,242923.0
237,ZMB,2021.0,Zambia,75154.0,4394.0,0.0,0.0,0.0,0.0,24862.0,104410.0
238,ZWE,2021.0,Zimbabwe,9483.0,11951.0,0.0,0.0,0.0,0.0,907.0,22341.0
