,ISO_A3,Year,Asylum,Refugees,Asylum-seekers,IDPs,Others in need,Stateless,Host Community,Others of concern,Displaced
0,-99,,,,,,,,,,
1,ABW,2020.0,Aruba,0.0,0.0,0.0,17000.0,0.0,0.0,13.0,17013.0
2,AFG,2020.0,Afghanistan,72278.0,167.0,2886317.0,0.0,0.0,0.0,82595.0,3041357.0
3,AGO,2020.0,Angola,25791.0,30278.0,0.0,0.0,0.0,0.0,61.0,56130.0
4,AIA,2020.0,Anguilla,0.0,0.0,0.0,21.0,0.0,0.0,0.0,21.0
5,ALA,,,,,,,,,,
6,ALB,2020.0,Albania,105.0,0.0,0.0,0.0,1031.0,0.0,10.0,1146.0
7,AND,,,,,,,,,,
8,ARE,2020.0,United Arab Emirates,1315.0,7229.0,0.0,0.0,5.0,0.0,127.0,8676.0
9,ARG,2020.0,Argentina,3965.0,9176.0,0.0,171659.0,0.0,0.0,448.0,185248.0
10,ARM,2020.0,Armenia,107910.0,136.0,0.0,0.0,1000.0,0.0,0.0,109046.0
11,ASM,,,,,,,,,,
12,ATA,,,,,,,,,,
13,ATF,,,,,,,,,,
14,ATG,,,,,,,,,,
15,AUS,2020.0,Australia,57411.0,80801.0,0.0,0.0,5221.0,0.0,46.0,143479.0
16,AUT,2020.0,Austria,141816.0,20710.0,0.0,0.0,3267.0,0.0,0.0,165793.0
17,AZE,2020.0,Azerbaijan,1572.0,48.0,653921.0,0.0,3585.0,0.0,0.0,659126.0
18,BDI,2020.0,Burundi,75461.0,4914.0,21863.0,0.0,974.0,0.0,1977.0,105189.0
19,BEL,2020.0,Belgium,64973.0,29305.0,0.0,0.0,1264.0,0.0,940.0,96482.0
20,BEN,2020.0,Benin,1396.0,464.0,0.0,0.0,0.0,0.0,0.0,1860.0
21,BFA,2020.0,Burkina Faso,20252.0,30.0,1074993.0,0.0,0.0,0.0,0.0,1095275.0
22,BGD,2020.0,Bangladesh,866534.0,18.0,0.0,0.0,866457.0,472000.0,0.0,2205009.0
23,BGR,2020.0,Bulgaria,21113.0,1938.0,0.0,0.0,1141.0,0.0,0.0,24192.0
24,BHR,2020.0,Bahrain,256.0,104.0,0.0,0.0,0.0,0.0,0.0,360.0
25,BHS,2020.0,Bahamas,15.0,13.0,0.0,0.0,0.0,0.0,0.0,28.0
26,BIH,2020.0,Bosnia and Herzegovina,5232.0,256.0,96305.0,0.0,66.0,0.0,7645.0,109504.0
27,BLM,,,,,,,,,,
28,BLR,2020.0,Belarus,2900.0,143.0,0.0,0.0,6296.0,0.0,0.0,9339.0
29,BLZ,2020.0,Belize,29.0,2249.0,0.0,0.0,0.0,0.0,3390.0,5668.0
30,BMU,,,,,,,,,,
31,BOL,2020.0,Bolivia (Plurinational State of),1116.0,157.0,0.0,9557.0,0.0,0.0,0.0,10830.0
32,BRA,2020.0,Brazil,59092.0,202661.0,0.0,163754.0,14.0,0.0,0.0,425521.0
33,BRB,2020.0,Barbados,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0
34,BRN,2020.0,Brunei Darussalam,0.0,0.0,0.0,0.0,20863.0,0.0,0.0,20863.0
35,BTN,,,,,,,,,,
36,BWA,2020.0,Botswana,617.0,422.0,0.0,0.0,0.0,0.0,6.0,1045.0
37,CAF,2020.0,Central African Rep.,9083.0,285.0,681930.0,0.0,0.0,0.0,0.0,691298.0
38,CAN,2020.0,Canada,109214.0,85352.0,0.0,0.0,4139.0,0.0,0.0,198705.0
39,CHE,2020.0,Switzerland,115798.0,6547.0,0.0,0.0,711.0,0.0,60.0,123116.0
40,CHL,2020.0,Chile,2053.0,8069.0,0.0,454547.0,0.0,0.0,1866.0,466535.0
41,CHN,2020.0,China,303405.0,743.0,0.0,0.0,0.0,0.0,0.0,304148.0
42,CIV,2020.0,Cote d'Ivoire,2086.0,224.0,5394.0,0.0,954531.0,0.0,50.0,962285.0
43,CMR,2020.0,Cameroon,436396.0,6809.0,1032942.0,0.0,0.0,0.0,215.0,1476362.0
44,COD,2020.0,Dem. Rep. of the Congo,490243.0,1480.0,5198131.0,0.0,0.0,0.0,0.0,5689854.0
45,COG,2020.0,Congo,27097.0,13622.0,134430.0,0.0,0.0,0.0,11920.0,187069.0
46,COK,,,,,,,,,,
47,COL,2020.0,Colombia,957.0,19933.0,8252788.0,1729537.0,11.0,741889.0,500000.0,11245115.0
48,COM,,,,,,,,,,
49,CPV,2020.0,Cabo Verde,0.0,0.0,0.0,0.0,115.0,0.0,0.0,115.0
50,CRI,2020.0,Costa Rica,9593.0,89744.0,0.0,22401.0,199.0,0.0,0.0,121937.0
51,CUB,2020.0,Cuba,222.0,10.0,0.0,0.0,0.0,0.0,0.0,232.0
52,CUW,2020.0,Curacao ,68.0,318.0,0.0,16691.0,0.0,0.0,0.0,17077.0
53,CYM,2020.0,Cayman Islands,38.0,28.0,0.0,39.0,0.0,0.0,0.0,105.0
54,CYP,2020.0,Cyprus,13997.0,20483.0,0.0,0.0,56.0,0.0,4000.0,38536.0
55,CZE,2020.0,Czechia,1919.0,1537.0,0.0,0.0,1492.0,0.0,1502.0,6450.0
56,DEU,2020.0,Germany,1210596.0,243157.0,0.0,0.0,26675.0,0.0,0.0,1480428.0
57,DJI,2020.0,Djibouti,21193.0,10811.0,0.0,0.0,0.0,1301.0,0.0,33305.0
58,DMA,,,,,,,,,,
59,DNK,2020.0,Denmark,36643.0,1331.0,0.0,0.0,11655.0,0.0,0.0,49629.0
60,DOM,2020.0,Dominican Rep.,162.0,625.0,0.0,114050.0,0.0,0.0,0.0,114837.0
61,DZA,2020.0,Algeria,97651.0,2124.0,0.0,0.0,0.0,0.0,0.0,99775.0
62,ECU,2020.0,Ecuador,104582.0,26001.0,0.0,401777.0,0.0,0.0,0.0,532360.0
63,EGY,2020.0,Egypt,272826.0,56446.0,0.0,0.0,10.0,0.0,0.0,329282.0
64,ERI,2020.0,Eritrea,201.0,0.0,0.0,0.0,0.0,0.0,17.0,218.0
65,ESH,,,,,,,,,,
66,ESP,2020.0,Spain,103624.0,103385.0,0.0,0.0,5914.0,0.0,5904.0,218827.0
67,EST,2020.0,Estonia,277.0,5.0,0.0,0.0,73214.0,0.0,0.0,73496.0
68,ETH,2020.0,Ethiopia,800454.0,1901.0,2733628.0,0.0,0.0,0.0,454.0,3536437.0
69,FIN,2020.0,Finland,23428.0,6316.0,0.0,0.0,3428.0,0.0,0.0,33172.0
70,FJI,2020.0,Fiji,14.0,5.0,0.0,0.0,0.0,0.0,0.0,19.0
71,FLK,,,,,,,,,,
72,FRA,2020.0,France,436055.0,118137.0,0.0,0.0,2068.0,0.0,1606.0,557866.0
73,FRO,,,,,,,,,,
74,FSM,,,,,,,,,,
75,GAB,2020.0,Gabon,467.0,80.0,0.0,0.0,0.0,0.0,0.0,547.0
