,ISO_A3,Year,Asylum,Refugees,Asylum-seekers,IDPs,Others in need,Stateless,Host Community,Others of concern,Displaced
0,-99,,,,,,,,,,
1,ABW,2022.0,Aruba,0.0,0.0,0.0,17000.0,0.0,1700.0,0.0,18700.0
2,AFG,2022.0,Afghanistan,52159.0,218.0,3254002.0,0.0,0.0,878451.0,88903.0,4273733.0
3,AGO,2022.0,Angola,25514.0,30268.0,0.0,0.0,0.0,0.0,199.0,55981.0
4,AIA,2022.0,Anguilla,0.0,0.0,0.0,0.0,0.0,0.0,39.0,39.0
5,ALA,,,,,,,,,,
6,ALB,2022.0,Albania,2676.0,5.0,0.0,0.0,1950.0,0.0,8.0,4639.0
7,AND,,,,,,,,,,
8,ARE,2022.0,United Arab Emirates,1399.0,7110.0,0.0,0.0,0.0,0.0,121.0,8630.0
9,ARG,2022.0,Argentina,4094.0,11100.0,0.0,165174.0,14.0,81619.0,466.0,262467.0
10,ARM,2022.0,Armenia,34634.0,580.0,0.0,0.0,672.0,0.0,0.0,35886.0
11,ASM,,,,,,,,,,
12,ATA,,,,,,,,,,
13,ATF,,,,,,,,,,
14,ATG,2022.0,Antigua and Barbuda,0.0,0.0,0.0,0.0,0.0,0.0,169.0,169.0
15,AUS,2022.0,Australia,54430.0,90549.0,0.0,0.0,8313.0,0.0,2500.0,155792.0
16,AUT,2022.0,Austria,258613.0,53087.0,0.0,0.0,3256.0,0.0,0.0,314956.0
17,AZE,2022.0,Azerbaijan,6414.0,152.0,658793.0,0.0,3585.0,0.0,0.0,668944.0
18,BDI,2022.0,Burundi,84636.0,3950.0,8495.0,0.0,783.0,0.0,1387.0,99251.0
19,BEL,2022.0,Belgium,151408.0,41810.0,0.0,0.0,1811.0,0.0,854.0,195883.0
20,BEN,2022.0,Benin,1779.0,1460.0,0.0,0.0,0.0,0.0,0.0,3239.0
21,BFA,2022.0,Burkina Faso,34375.0,551.0,1882391.0,0.0,0.0,0.0,0.0,1917317.0
22,BGD,2022.0,Bangladesh,952384.0,24.0,0.0,0.0,952309.0,174850.0,0.0,2079567.0
23,BGR,2022.0,Bulgaria,176297.0,11165.0,0.0,0.0,1162.0,0.0,0.0,188624.0
24,BHR,2022.0,Bahrain,255.0,122.0,0.0,0.0,0.0,0.0,0.0,377.0
25,BHS,2022.0,Bahamas,10.0,31.0,0.0,0.0,0.0,0.0,723.0,764.0
