,ISO_A3,Year,Origin,Refugees,Asylum-seekers,IDPs,Others in need,Stateless,Host Community,Others of concern,Displaced
0,-99,,,,,,,,,,
1,ABW,,,,,,,,,,
2,AFG,2020.0,Afghanistan,2594827.0,238791.0,2886317.0,0.0,0.0,0.0,87499.0,5807434.0
3,AGO,2020.0,Angola,8196.0,12402.0,0.0,0.0,0.0,0.0,19041.0,39639.0
4,AIA,2020.0,Anguilla,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0
5,ALA,,,,,,,,,,
6,ALB,2020.0,Albania,15523.0,17628.0,0.0,0.0,0.0,0.0,0.0,33151.0
7,AND,2020.0,Andorra,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0
8,ARE,2020.0,United Arab Emirates,181.0,181.0,0.0,0.0,0.0,0.0,0.0,362.0
9,ARG,2020.0,Argentina,99.0,1189.0,0.0,0.0,0.0,0.0,5.0,1293.0
10,ARM,2020.0,Armenia,10334.0,8850.0,0.0,0.0,0.0,0.0,0.0,19184.0
11,ASM,,,,,,,,,,
12,ATA,,,,,,,,,,
13,ATF,,,,,,,,,,
14,ATG,2020.0,Antigua and Barbuda,108.0,51.0,0.0,0.0,0.0,0.0,0.0,159.0
15,AUS,2020.0,Australia,20.0,12.0,0.0,0.0,0.0,0.0,0.0,32.0
16,AUT,2020.0,Austria,18.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0
17,AZE,2020.0,Azerbaijan,101468.0,6425.0,653921.0,0.0,0.0,0.0,0.0,761814.0
18,BDI,2020.0,Burundi,372951.0,50227.0,21863.0,0.0,0.0,0.0,17448.0,462489.0
19,BEL,2020.0,Belgium,28.0,62.0,0.0,0.0,0.0,0.0,0.0,90.0
20,BEN,2020.0,Benin,606.0,1350.0,0.0,0.0,0.0,0.0,12.0,1968.0
21,BFA,2020.0,Burkina Faso,15694.0,5110.0,1074993.0,0.0,0.0,0.0,3803.0,1099600.0
22,BGD,2020.0,Bangladesh,18948.0,64636.0,0.0,0.0,0.0,472000.0,1271.0,556855.0
23,BGR,2020.0,Bulgaria,510.0,350.0,0.0,0.0,0.0,0.0,5.0,865.0
24,BHR,2020.0,Bahrain,534.0,118.0,0.0,0.0,0.0,0.0,0.0,652.0
25,BHS,2020.0,Bahamas,534.0,695.0,0.0,0.0,0.0,0.0,0.0,1229.0
26,BIH,2020.0,Bosnia and Herzegovina,15578.0,1358.0,96305.0,0.0,0.0,0.0,1128.0,114369.0
27,BLM,,,,,,,,,,
28,BLR,2020.0,Belarus,3139.0,4698.0,0.0,0.0,0.0,0.0,0.0,7837.0
29,BLZ,2020.0,Belize,68.0,314.0,0.0,0.0,0.0,0.0,0.0,382.0
30,BMU,,,,,,,,,,
31,BOL,2020.0,Bolivia (Plurinational State of),535.0,1370.0,0.0,0.0,0.0,0.0,0.0,1905.0
32,BRA,2020.0,Brazil,1548.0,16857.0,0.0,0.0,0.0,0.0,0.0,18405.0
33,BRB,2020.0,Barbados,230.0,120.0,0.0,0.0,0.0,0.0,0.0,350.0
34,BRN,2020.0,Brunei Darussalam,0.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0
35,BTN,2020.0,Bhutan,6741.0,411.0,0.0,0.0,0.0,0.0,0.0,7152.0
36,BWA,2020.0,Botswana,191.0,134.0,0.0,0.0,0.0,0.0,0.0,325.0
37,CAF,2020.0,Central African Rep.,642161.0,13458.0,681930.0,0.0,0.0,0.0,1669.0,1339218.0
38,CAN,2020.0,Canada,65.0,108.0,0.0,0.0,0.0,0.0,0.0,173.0
39,CHE,2020.0,Switzerland,5.0,16.0,0.0,0.0,0.0,0.0,0.0,21.0
40,CHL,2020.0,Chile,659.0,2111.0,0.0,0.0,0.0,0.0,0.0,2770.0
41,CHN,2020.0,China,175361.0,108071.0,0.0,0.0,0.0,0.0,6.0,283438.0
42,CIV,2020.0,Cote d'Ivoire,37525.0,34216.0,5394.0,0.0,0.0,0.0,31.0,77166.0
43,CMR,2020.0,Cameroon,78481.0,23013.0,1032942.0,0.0,0.0,0.0,5.0,1134441.0
44,COD,2020.0,Dem. Rep. of the Congo,840392.0,145372.0,5198131.0,0.0,0.0,0.0,14077.0,6197972.0
45,COG,2020.0,Congo,12590.0,12836.0,134430.0,0.0,0.0,0.0,38.0,159894.0
46,COK,,,,,,,,,,
47,COL,2020.0,Colombia,189866.0,70917.0,8252788.0,0.0,0.0,741889.0,500013.0,9755473.0
48,COM,2020.0,Comoros,748.0,2688.0,0.0,0.0,0.0,0.0,0.0,3436.0
49,CPV,2020.0,Cabo Verde,5.0,258.0,0.0,0.0,0.0,0.0,0.0,263.0
50,CRI,2020.0,Costa Rica,208.0,800.0,0.0,0.0,0.0,0.0,0.0,1008.0
51,CUB,2020.0,Cuba,8912.0,62234.0,0.0,0.0,0.0,0.0,130.0,71276.0
52,CUW,2020.0,Curacao ,35.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0
53,CYM,2020.0,Cayman Islands,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
54,CYP,2020.0,Cyprus,0.0,19.0,0.0,0.0,0.0,0.0,0.0,19.0
55,CZE,2020.0,Czechia,1112.0,158.0,0.0,0.0,0.0,0.0,0.0,1270.0
56,DEU,2020.0,Germany,71.0,166.0,0.0,0.0,0.0,0.0,0.0,237.0
