,ISO_A3,Year,Origin,Refugees,Asylum-seekers,IDPs,Others in need,Stateless,Host Community,Others of concern,Displaced
0,-99,,,,,,,,,,
1,ABW,,,,,,,,,,
2,AFG,2019.0,Afghanistan,2727556.0,251047.0,2553390.0,0.0,0.0,0.0,450675.0,5982668.0
3,AGO,2019.0,Angola,8176.0,10772.0,0.0,0.0,0.0,0.0,18243.0,37191.0
4,AIA,,,,,,,,,,
5,ALA,,,,,,,,,,
6,ALB,2019.0,Albania,15027.0,19007.0,0.0,0.0,0.0,0.0,0.0,34034.0
7,AND,,,,,,,,,,
8,ARE,2019.0,United Arab Emirates,155.0,181.0,0.0,0.0,0.0,0.0,0.0,336.0
9,ARG,2019.0,Argentina,99.0,932.0,0.0,0.0,0.0,0.0,5.0,1036.0
10,ARM,2019.0,Armenia,10962.0,11097.0,0.0,0.0,0.0,0.0,5.0,22064.0
11,ASM,,,,,,,,,,
12,ATA,,,,,,,,,,
13,ATF,,,,,,,,,,
14,ATG,2019.0,Antigua and Barbuda,117.0,65.0,0.0,0.0,0.0,0.0,0.0,182.0
15,AUS,2019.0,Australia,20.0,50.0,0.0,0.0,0.0,0.0,0.0,70.0
16,AUT,2019.0,Austria,18.0,10.0,0.0,0.0,0.0,0.0,0.0,28.0
17,AZE,2019.0,Azerbaijan,11626.0,8232.0,652326.0,0.0,0.0,0.0,0.0,672184.0
18,BDI,2019.0,Burundi,380900.0,53166.0,33256.0,0.0,0.0,0.0,17605.0,484927.0
19,BEL,2019.0,Belgium,34.0,105.0,0.0,0.0,0.0,0.0,0.0,139.0
20,BEN,2019.0,Benin,721.0,1214.0,0.0,0.0,0.0,0.0,6.0,1941.0
21,BFA,2019.0,Burkina Faso,11733.0,4996.0,560033.0,0.0,0.0,0.0,2190.0,578952.0
22,BGD,2019.0,Bangladesh,22766.0,62860.0,0.0,0.0,0.0,0.0,502.0,86128.0
23,BGR,2019.0,Bulgaria,566.0,344.0,0.0,0.0,0.0,0.0,5.0,915.0
24,BHR,2019.0,Bahrain,557.0,156.0,0.0,0.0,0.0,0.0,0.0,713.0
25,BHS,2019.0,Bahamas,501.0,528.0,0.0,0.0,0.0,0.0,0.0,1029.0
26,BIH,2019.0,Bosnia and Herzegovina,16556.0,1487.0,96421.0,0.0,0.0,0.0,48907.0,163371.0
27,BLM,,,,,,,,,,
28,BLR,2019.0,Belarus,3425.0,4012.0,0.0,0.0,0.0,0.0,0.0,7437.0
29,BLZ,2019.0,Belize,73.0,278.0,0.0,0.0,0.0,0.0,0.0,351.0
30,BMU,,,,,,,,,,
31,BOL,2019.0,Bolivia (Plurinational State of),514.0,1238.0,0.0,0.0,0.0,0.0,0.0,1752.0
32,BRA,2019.0,Brazil,1399.0,12034.0,0.0,0.0,0.0,0.0,0.0,13433.0
33,BRB,2019.0,Barbados,243.0,116.0,0.0,0.0,0.0,0.0,0.0,359.0
34,BRN,2019.0,Brunei Darussalam,0.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0
35,BTN,2019.0,Bhutan,6839.0,413.0,0.0,0.0,0.0,0.0,0.0,7252.0
36,BWA,2019.0,Botswana,228.0,139.0,0.0,0.0,0.0,0.0,0.0,367.0
37,CAF,2019.0,Central African Rep.,610152.0,15935.0,669906.0,0.0,0.0,0.0,1570.0,1297563.0
38,CAN,2019.0,Canada,71.0,88.0,0.0,0.0,0.0,0.0,0.0,159.0
39,CHE,2019.0,Switzerland,5.0,20.0,0.0,0.0,0.0,0.0,0.0,25.0
40,CHL,2019.0,Chile,486.0,1251.0,0.0,0.0,0.0,0.0,0.0,1737.0
41,CHN,2019.0,China,212863.0,104248.0,0.0,0.0,0.0,0.0,0.0,317111.0
42,CIV,2019.0,Cote d'Ivoire,39351.0,19881.0,0.0,0.0,0.0,0.0,32.0,59264.0
43,CMR,2019.0,Cameroon,66241.0,21865.0,950263.0,0.0,0.0,0.0,10.0,1038379.0
44,COD,2019.0,Dem. Rep. of the Congo,802974.0,145502.0,5014253.0,0.0,0.0,0.0,13128.0,5975857.0
45,COG,2019.0,Congo,12743.0,11227.0,134430.0,0.0,0.0,0.0,37.0,158437.0
46,COK,,,,,,,,,,
47,COL,2019.0,Colombia,189254.0,75548.0,7976412.0,0.0,0.0,0.0,400000.0,8641214.0
48,COM,2019.0,Comoros,658.0,1459.0,0.0,0.0,0.0,0.0,0.0,2117.0
49,CPV,2019.0,Cabo Verde,10.0,250.0,0.0,0.0,0.0,0.0,0.0,260.0
50,CRI,2019.0,Costa Rica,206.0,739.0,0.0,0.0,0.0,0.0,0.0,945.0
51,CUB,2019.0,Cuba,6625.0,55944.0,0.0,0.0,0.0,0.0,0.0,62569.0
52,CUW,2019.0,Curacao ,35.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0
53,CYM,2019.0,Cayman Islands,6.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
54,CYP,2019.0,Cyprus,0.0,35.0,0.0,0.0,0.0,0.0,0.0,35.0
55,CZE,2019.0,Czechia,1166.0,181.0,0.0,0.0,0.0,0.0,0.0,1347.0
56,DEU,2019.0,Germany,69.0,201.0,0.0,0.0,0.0,0.0,0.0,270.0
57,DJI,2019.0,Djibouti,2351.0,834.0,0.0,0.0,0.0,0.0,0.0,3185.0
58,DMA,2019.0,Dominica,50.0,82.0,0.0,0.0,0.0,0.0,0.0,132.0
