,ISO_A3,Year,Asylum,Refugees,Asylum-seekers,IDPs,Others in need,Stateless,Host Community,Others of concern,Displaced
0,-99,,,,,,,,,,
1,ABW,2018.0,Aruba,0.0,407.0,0.0,15602.0,0.0,0.0,0.0,16009.0
2,AFG,2018.0,Afghanistan,72228.0,281.0,2106893.0,0.0,0.0,0.0,489854.0,2669256.0
3,AGO,2018.0,Angola,39856.0,30128.0,0.0,0.0,0.0,0.0,0.0,69984.0
4,AIA,,,,,,,,,,
5,ALA,,,,,,,,,,
6,ALB,2018.0,Albania,132.0,159.0,0.0,0.0,4160.0,0.0,76.0,4527.0
7,AND,,,,,,,,,,
8,ARE,2018.0,United Arab Emirates,1167.0,6500.0,0.0,0.0,0.0,0.0,97.0,7764.0
9,ARG,2018.0,Argentina,3442.0,6102.0,0.0,127152.0,0.0,0.0,410.0,137106.0
10,ARM,2018.0,Armenia,17966.0,105.0,0.0,0.0,848.0,0.0,0.0,18919.0
11,ASM,,,,,,,,,,
12,ATA,,,,,,,,,,
13,ATF,,,,,,,,,,
14,ATG,,,,,,,,,,
15,AUS,2018.0,Australia,56934.0,60645.0,0.0,0.0,132.0,0.0,0.0,117711.0
16,AUT,2018.0,Austria,128779.0,37347.0,0.0,0.0,1062.0,0.0,0.0,167188.0
17,AZE,2018.0,Azerbaijan,1130.0,209.0,620423.0,0.0,3585.0,0.0,0.0,625347.0
18,BDI,2018.0,Burundi,71501.0,5658.0,31909.0,0.0,974.0,0.0,787.0,110829.0
19,BEL,2018.0,Belgium,42158.0,19550.0,0.0,0.0,7695.0,0.0,0.0,69403.0
20,BEN,2018.0,Benin,1167.0,308.0,0.0,0.0,0.0,0.0,0.0,1475.0
21,BFA,2018.0,Burkina Faso,25120.0,40.0,47030.0,0.0,0.0,0.0,0.0,72190.0
22,BGD,2018.0,Bangladesh,906640.0,39.0,0.0,0.0,906635.0,0.0,0.0,1813314.0
23,BGR,2018.0,Bulgaria,19906.0,1560.0,0.0,0.0,92.0,0.0,0.0,21558.0
24,BHR,2018.0,Bahrain,262.0,58.0,0.0,0.0,0.0,0.0,0.0,320.0
25,BHS,2018.0,Bahamas,14.0,24.0,0.0,0.0,0.0,0.0,0.0,38.0
26,BIH,2018.0,Bosnia and Herzegovina,5227.0,1003.0,96830.0,0.0,90.0,0.0,48907.0,152057.0
27,BLM,,,,,,,,,,
28,BLR,2018.0,Belarus,2225.0,184.0,0.0,0.0,6025.0,0.0,0.0,8434.0
29,BLZ,2018.0,Belize,29.0,3305.0,0.0,0.0,0.0,0.0,2774.0,6108.0
30,BMU,,,,,,,,,,
31,BOL,2018.0,Bolivia (Plurinational State of),802.0,34.0,0.0,0.0,0.0,0.0,0.0,836.0
32,BRA,2018.0,Brazil,11304.0,152670.0,0.0,39771.0,0.0,0.0,0.0,203745.0
33,BRB,2018.0,Barbados,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0
34,BRN,2018.0,Brunei Darussalam,0.0,0.0,0.0,0.0,20863.0,0.0,0.0,20863.0
35,BTN,,,,,,,,,,
36,BWA,2018.0,Botswana,2044.0,268.0,0.0,0.0,0.0,0.0,6.0,2318.0
37,CAF,2018.0,Central African Rep.,6652.0,397.0,640970.0,0.0,0.0,0.0,0.0,648019.0
38,CAN,2018.0,Canada,114101.0,78766.0,0.0,0.0,3790.0,0.0,0.0,196657.0
39,CHE,2018.0,Switzerland,104011.0,14776.0,0.0,0.0,49.0,0.0,0.0,118836.0
40,CHL,2018.0,Chile,2026.0,11993.0,0.0,285122.0,0.0,0.0,1989.0,301130.0
41,CHN,2018.0,China,321758.0,583.0,0.0,0.0,0.0,0.0,0.0,322341.0
42,CIV,2018.0,Cote d'Ivoire,1808.0,198.0,0.0,0.0,692000.0,0.0,104.0,694110.0
43,CMR,2018.0,Cameroon,380327.0,8092.0,668494.0,0.0,0.0,0.0,25.0,1056938.0
44,COD,2018.0,Dem. Rep. of the Congo,529065.0,5770.0,4516866.0,0.0,0.0,0.0,0.0,5051701.0
45,COG,2018.0,Congo,37491.0,9176.0,138000.0,0.0,0.0,0.0,12399.0,197066.0
46,COK,,,,,,,,,,
47,COL,2018.0,Colombia,294.0,2851.0,7816473.0,1171552.0,11.0,0.0,0.0,8991181.0
48,COM,,,,,,,,,,
49,CPV,2018.0,Cabo Verde,0.0,0.0,0.0,0.0,115.0,0.0,0.0,115.0
