,ISO_A3,Year,Origin,Refugees,Asylum-seekers,IDPs,Others in need,Stateless,Host Community,Others of concern,Displaced
0,-99,,,,,,,,,,
1,ABW,2022.0,Aruba,0.0,7.0,0.0,0.0,0.0,1700.0,0.0,1707.0
2,AFG,2022.0,Afghanistan,5661675.0,294493.0,3254002.0,0.0,0.0,878451.0,90663.0,10179284.0
3,AGO,2022.0,Angola,11751.0,16523.0,0.0,0.0,0.0,0.0,13315.0,41589.0
4,AIA,2022.0,Anguilla,5.0,5.0,0.0,0.0,0.0,0.0,0.0,10.0
5,ALA,,,,,,,,,,
6,ALB,2022.0,Albania,20847.0,34406.0,0.0,0.0,0.0,0.0,0.0,55253.0
7,AND,2022.0,Andorra,5.0,5.0,0.0,0.0,0.0,0.0,0.0,10.0
8,ARE,2022.0,United Arab Emirates,192.0,594.0,0.0,0.0,0.0,0.0,0.0,786.0
9,ARG,2022.0,Argentina,178.0,2271.0,0.0,0.0,0.0,0.0,5.0,2454.0
10,ARM,2022.0,Armenia,14844.0,13474.0,0.0,0.0,0.0,0.0,5.0,28323.0
11,ASM,,,,,,,,,,
12,ATA,,,,,,,,,,
13,ATF,,,,,,,,,,
14,ATG,2022.0,Antigua and Barbuda,58.0,58.0,0.0,0.0,0.0,0.0,0.0,116.0
15,AUS,2022.0,Australia,31.0,25.0,0.0,0.0,0.0,0.0,0.0,56.0
16,AUT,2022.0,Austria,41.0,17.0,0.0,0.0,0.0,0.0,0.0,58.0
17,AZE,2022.0,Azerbaijan,42013.0,5726.0,658793.0,0.0,0.0,0.0,0.0,706532.0
18,BDI,2022.0,Burundi,320536.0,56399.0,8495.0,0.0,0.0,0.0,6149.0,391579.0
19,BEL,2022.0,Belgium,28.0,86.0,0.0,0.0,0.0,0.0,0.0,114.0
20,BEN,2022.0,Benin,816.0,1407.0,0.0,0.0,0.0,0.0,0.0,2223.0
21,BFA,2022.0,Burkina Faso,33318.0,32160.0,1882391.0,0.0,0.0,0.0,0.0,1947869.0
22,BGD,2022.0,Bangladesh,23927.0,61298.0,0.0,0.0,0.0,174850.0,39.0,260114.0
