,ISO_A3,Year,Asylum,Refugees,Asylum-seekers,IDPs,Others in need,Stateless,Host Community,Others of concern,Displaced
0,-99,,,,,,,,,,
1,ABW,2019.0,Aruba,0.0,406.0,0.0,16602.0,0.0,0.0,0.0,17008.0
2,AFG,2019.0,Afghanistan,72227.0,247.0,2553390.0,0.0,0.0,0.0,447093.0,3072957.0
3,AGO,2019.0,Angola,25793.0,30178.0,0.0,0.0,0.0,0.0,61.0,56032.0
4,AIA,2019.0,Anguilla,0.0,0.0,0.0,11.0,0.0,0.0,0.0,11.0
5,ALA,,,,,,,,,,
6,ALB,2019.0,Albania,120.0,5.0,0.0,0.0,3687.0,0.0,153.0,3965.0
7,AND,,,,,,,,,,
8,ARE,2019.0,United Arab Emirates,1242.0,7266.0,0.0,0.0,0.0,0.0,130.0,8638.0
9,ARG,2019.0,Argentina,3857.0,7981.0,0.0,173343.0,0.0,0.0,443.0,185624.0
10,ARM,2019.0,Armenia,17980.0,158.0,0.0,0.0,961.0,0.0,0.0,19099.0
11,ASM,,,,,,,,,,
12,ATA,,,,,,,,,,
13,ATF,,,,,,,,,,
14,ATG,,,,,,,,,,
15,AUS,2019.0,Australia,58529.0,77362.0,0.0,0.0,6000.0,0.0,0.0,141891.0
16,AUT,2019.0,Austria,135951.0,26696.0,0.0,0.0,1132.0,0.0,0.0,163779.0
17,AZE,2019.0,Azerbaijan,1109.0,181.0,652326.0,0.0,3585.0,0.0,0.0,657201.0
18,BDI,2019.0,Burundi,78465.0,8995.0,33256.0,0.0,974.0,0.0,1904.0,123594.0
19,BEL,2019.0,Belgium,61662.0,10862.0,0.0,0.0,11208.0,0.0,0.0,83732.0
20,BEN,2019.0,Benin,1238.0,373.0,0.0,0.0,0.0,0.0,0.0,1611.0
21,BFA,2019.0,Burkina Faso,25869.0,29.0,560033.0,0.0,0.0,0.0,0.0,585931.0
22,BGD,2019.0,Bangladesh,854779.0,34.0,0.0,0.0,854704.0,0.0,0.0,1709517.0
23,BGR,2019.0,Bulgaria,20438.0,1054.0,0.0,0.0,1142.0,0.0,0.0,22634.0
24,BHR,2019.0,Bahrain,251.0,58.0,0.0,0.0,0.0,0.0,0.0,309.0
25,BHS,2019.0,Bahamas,10.0,13.0,0.0,0.0,0.0,0.0,0.0,23.0
26,BIH,2019.0,Bosnia and Herzegovina,5241.0,725.0,96421.0,0.0,74.0,0.0,53728.0,156189.0
27,BLM,,,,,,,,,,
28,BLR,2019.0,Belarus,2725.0,131.0,0.0,0.0,6466.0,0.0,0.0,9322.0
29,BLZ,2019.0,Belize,29.0,2144.0,0.0,0.0,0.0,0.0,3390.0,5563.0
30,BMU,,,,,,,,,,
31,BOL,2019.0,Bolivia (Plurinational State of),863.0,242.0,0.0,5472.0,0.0,0.0,0.0,6577.0
32,BRA,2019.0,Brazil,32844.0,207294.0,0.0,123507.0,7.0,0.0,0.0,363652.0
33,BRB,2019.0,Barbados,0.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0
34,BRN,2019.0,Brunei Darussalam,0.0,0.0,0.0,0.0,20863.0,0.0,0.0,20863.0
35,BTN,,,,,,,,,,
36,BWA,2019.0,Botswana,1113.0,150.0,0.0,0.0,0.0,0.0,6.0,1269.0
37,CAF,2019.0,Central African Rep.,7170.0,309.0,669906.0,0.0,0.0,0.0,0.0,677385.0
38,CAN,2019.0,Canada,101757.0,97017.0,0.0,0.0,4985.0,0.0,0.0,203759.0
39,CHE,2019.0,Switzerland,110162.0,11200.0,0.0,0.0,47.0,0.0,0.0,121409.0
40,CHL,2019.0,Chile,2046.0,8521.0,0.0,452712.0,0.0,0.0,2073.0,465352.0
41,CHN,2019.0,China,303379.0,644.0,0.0,0.0,0.0,0.0,0.0,304023.0
42,CIV,2019.0,Cote d'Ivoire,2020.0,151.0,0.0,0.0,955399.0,0.0,65.0,957635.0
43,CMR,2019.0,Cameroon,406259.0,9930.0,950263.0,0.0,0.0,0.0,20.0,1366472.0
44,COD,2019.0,Dem. Rep. of the Congo,523733.0,3192.0,5014253.0,0.0,0.0,0.0,0.0,5541178.0
45,COG,2019.0,Congo,25668.0,14417.0,134430.0,0.0,0.0,0.0,11770.0,186285.0
46,COK,,,,,,,,,,
47,COL,2019.0,Colombia,634.0,9094.0,7976412.0,1771237.0,11.0,0.0,400000.0,10157388.0
48,COM,,,,,,,,,,
49,CPV,2019.0,Cabo Verde,0.0,0.0,0.0,0.0,115.0,0.0,0.0,115.0
50,CRI,2019.0,Costa Rica,6204.0,87154.0,0.0,20828.0,231.0,0.0,69.0,114486.0
51,CUB,2019.0,Cuba,233.0,32.0,0.0,0.0,0.0,0.0,0.0,265.0
52,CUW,2019.0,Curacao ,42.0,345.0,0.0,16190.0,0.0,0.0,0.0,16577.0
53,CYM,2019.0,Cayman Islands,34.0,14.0,0.0,52.0,0.0,0.0,0.0,100.0
54,CYP,2019.0,Cyprus,12311.0,18799.0,0.0,0.0,56.0,0.0,4000.0,35166.0
55,CZE,2019.0,Czechia,2054.0,1632.0,0.0,0.0,1502.0,0.0,413.0,5601.0
56,DEU,2019.0,Germany,1146682.0,309231.0,0.0,0.0,26369.0,0.0,0.0,1482282.0
57,DJI,2019.0,Djibouti,19639.0,11153.0,0.0,0.0,0.0,0.0,0.0,30792.0
58,DMA,,,,,,,,,,
59,DNK,2019.0,Denmark,37533.0,1422.0,0.0,0.0,11682.0,0.0,0.0,50637.0
60,DOM,2019.0,Dominican Rep.,164.0,561.0,0.0,33816.0,0.0,0.0,0.0,34541.0
61,DZA,2019.0,Algeria,98599.0,1647.0,0.0,0.0,0.0,0.0,0.0,100246.0
62,ECU,2019.0,Ecuador,104560.0,25002.0,0.0,374045.0,0.0,0.0,0.0,503607.0
63,EGY,2019.0,Egypt,258391.0,66309.0,0.0,0.0,5.0,0.0,0.0,324705.0
64,ERI,2019.0,Eritrea,199.0,0.0,0.0,0.0,0.0,0.0,17.0,216.0
65,ESH,,,,,,,,,,
66,ESP,2019.0,Spain,57751.0,133030.0,0.0,0.0,4251.0,0.0,0.0,195032.0
67,EST,2019.0,Estonia,331.0,33.0,0.0,0.0,75599.0,0.0,0.0,75963.0
68,ETH,2019.0,Ethiopia,733123.0,1677.0,1733628.0,0.0,0.0,0.0,392.0,2468820.0
69,FIN,2019.0,Finland,23458.0,8308.0,0.0,0.0,3268.0,0.0,0.0,35034.0
70,FJI,2019.0,Fiji,12.0,10.0,0.0,0.0,0.0,0.0,0.0,22.0
71,FLK,,,,,,,,,,
72,FRA,2019.0,France,407915.0,102140.0,0.0,0.0,1980.0,0.0,0.0,512035.0
73,FRO,,,,,,,,,,
74,FSM,,,,,,,,,,
75,GAB,2019.0,Gabon,454.0,76.0,0.0,0.0,0.0,0.0,0.0,530.0
76,GBR,2019.0,United Kingdom of Great Britain and Northern Ireland,133083.0,61947.0,0.0,0.0,4069.0,0.0,0.0,199099.0
77,GEO,2019.0,Georgia,1355.0,1111.0,286216.0,0.0,559.0,0.0,593.0,289834.0
78,GGY,,,,,,,,,,
79,GHA,2019.0,Ghana,11946.0,1509.0,0.0,0.0,0.0,0.0,0.0,13455.0
80,GIB,,,,,,,,,,
81,GIN,2019.0,Guinea,4964.0,1980.0,0.0,0.0,0.0,0.0,0.0,6944.0
82,GMB,2019.0,Gambia,4302.0,206.0,0.0,0.0,0.0,0.0,0.0,4508.0
83,GNB,2019.0,Guinea-Bissau,1846.0,30.0,0.0,0.0,0.0,0.0,0.0,1876.0
84,GNQ,,,,,,,,,,
85,GRC,2019.0,Greece,80454.0,105684.0,0.0,0.0,5607.0,0.0,0.0,191745.0
86,GRD,,,,,,,,,,
87,GRL,,,,,,,,,,
88,GTM,2019.0,Guatemala,408.0,631.0,0.0,0.0,0.0,0.0,110600.0,111639.0
89,GUM,,,,,,,,,,
90,GUY,2019.0,Guyana,14.0,57.0,0.0,22000.0,0.0,0.0,0.0,22071.0
91,HKG,2019.0,"China, Hong Kong SAR",128.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0
92,HMD,,,,,,,,,,
93,HND,2019.0,Honduras,75.0,109.0,247090.0,0.0,0.0,0.0,6000.0,253274.0
94,HRV,2019.0,Croatia,916.0,454.0,0.0,0.0,2896.0,0.0,4027.0,8293.0
95,HTI,2019.0,Haiti,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0
96,HUN,2019.0,Hungary,5750.0,222.0,0.0,0.0,147.0,0.0,0.0,6119.0
97,IDN,2019.0,Indonesia,10287.0,3343.0,0.0,0.0,582.0,0.0,0.0,14212.0
98,IMN,,,,,,,,,,
99,IND,2019.0,India,195103.0,12202.0,0.0,0.0,17730.0,0.0,0.0,225035.0
100,IOT,,,,,,,,,,
101,IRL,2019.0,Ireland,7795.0,7853.0,0.0,0.0,106.0,0.0,0.0,15754.0
102,IRN,2019.0,Iran (Islamic Rep. of),979435.0,33.0,0.0,0.0,0.0,0.0,0.0,979468.0
103,IRQ,2019.0,Iraq,273986.0,12938.0,1414632.0,0.0,47253.0,0.0,10.0,1748819.0
104,ISL,2019.0,Iceland,894.0,365.0,0.0,0.0,58.0,0.0,0.0,1317.0
105,ISR,2019.0,Israel,16107.0,38479.0,0.0,0.0,42.0,0.0,0.0,54628.0
106,ITA,2019.0,Italy,207602.0,47030.0,0.0,0.0,15839.0,0.0,0.0,270471.0
107,JAM,2019.0,Jamaica,0.0,5.0,0.0,121.0,0.0,0.0,0.0,126.0
108,JEY,,,,,,,,,,
109,JOR,2019.0,Jordan,693668.0,51283.0,0.0,0.0,66.0,0.0,2117.0,747134.0
110,JPN,2019.0,Japan,1463.0,29123.0,0.0,0.0,687.0,0.0,0.0,31273.0
111,KAZ,2019.0,Kazakhstan,518.0,212.0,0.0,0.0,8386.0,0.0,0.0,9116.0
112,KEN,2019.0,Kenya,438899.0,50829.0,0.0,0.0,18500.0,0.0,0.0,508228.0
113,KGZ,2019.0,Kyrgyzstan,347.0,164.0,0.0,0.0,58.0,0.0,0.0,569.0
114,KHM,2019.0,Cambodia,0.0,27.0,0.0,0.0,57444.0,0.0,0.0,57471.0
115,KIR,,,,,,,,,,
116,KNA,2019.0,Saint Kitts and Nevis,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
117,KOR,2019.0,Rep. of Korea,3196.0,25562.0,0.0,0.0,202.0,0.0,0.0,28960.0
118,KWT,2019.0,Kuwait,686.0,1079.0,0.0,0.0,92020.0,0.0,0.0,93785.0
119,LAO,,,,,,,,,,
120,LBN,2019.0,Lebanon,916141.0,12095.0,0.0,0.0,0.0,0.0,7875.0,936111.0
121,LBR,2019.0,Liberia,8225.0,11.0,0.0,0.0,0.0,0.0,0.0,8236.0
122,LBY,2019.0,Libya,4730.0,40718.0,355672.0,0.0,0.0,0.0,0.0,401120.0
123,LCA,,,,,,,,,,
124,LIE,2019.0,Liechtenstein,125.0,29.0,0.0,0.0,0.0,0.0,0.0,154.0
125,LKA,2019.0,Sri Lanka,1041.0,361.0,25110.0,0.0,0.0,0.0,0.0,26512.0
126,LSO,2019.0,Lesotho,143.0,78.0,0.0,0.0,0.0,0.0,0.0,221.0
127,LTU,2019.0,Lithuania,1822.0,408.0,0.0,0.0,2940.0,0.0,0.0,5170.0
128,LUX,2019.0,Luxembourg,2548.0,1785.0,0.0,0.0,133.0,0.0,0.0,4466.0
129,LVA,2019.0,Latvia,665.0,41.0,0.0,0.0,216851.0,0.0,0.0,217557.0
130,MAC,,,,,,,,,,
131,MAF,,,,,,,,,,
132,MAR,2019.0,Morocco,6642.0,3079.0,0.0,0.0,0.0,0.0,0.0,9721.0
133,MCO,2019.0,Monaco,22.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0
134,MDA,2019.0,Rep. of Moldova,417.0,94.0,0.0,0.0,3500.0,0.0,0.0,4011.0
135,MDG,2019.0,Madagascar,113.0,128.0,0.0,0.0,0.0,0.0,0.0,241.0
136,MDV,,,,,,,,,,
137,MEX,2019.0,Mexico,28517.0,69451.0,0.0,52982.0,13.0,0.0,140710.0,291673.0
138,MHL,,,,,,,,,,
139,MKD,2019.0,North Macedonia,354.0,75.0,0.0,0.0,567.0,0.0,0.0,996.0
140,MLI,2019.0,Mali,26672.0,1004.0,207751.0,0.0,0.0,0.0,0.0,235427.0
141,MLT,2019.0,Malta,8908.0,3681.0,0.0,0.0,11.0,0.0,0.0,12600.0
142,MMR,2019.0,Myanmar,0.0,0.0,312018.0,0.0,600000.0,0.0,0.0,912018.0
143,MNE,2019.0,Montenegro,653.0,484.0,0.0,0.0,142.0,0.0,12275.0,13554.0
144,MNG,2019.0,Mongolia,0.0,5.0,0.0,0.0,17.0,0.0,10.0,32.0
145,MNP,,,,,,,,,,
146,MOZ,2019.0,Mozambique,4713.0,20975.0,180516.0,0.0,0.0,0.0,0.0,206204.0
147,MRT,2019.0,Mauritania,84900.0,1540.0,0.0,0.0,0.0,0.0,0.0,86440.0
148,MSR,,,,,,,,,,
149,MUS,2019.0,Mauritius,20.0,5.0,0.0,0.0,0.0,0.0,0.0,25.0
150,MWI,2019.0,Malawi,14087.0,30293.0,0.0,0.0,0.0,0.0,239.0,44619.0
151,MYS,2019.0,Malaysia,129102.0,50619.0,0.0,0.0,108332.0,0.0,55000.0,343053.0
152,NAM,2019.0,Namibia,3182.0,1906.0,0.0,0.0,0.0,0.0,7.0,5095.0
153,NCL,,,,,,,,,,
154,NER,2019.0,Niger,179997.0,37896.0,191902.0,0.0,0.0,0.0,32072.0,441867.0
155,NFK,,,,,,,,,,
156,NGA,2019.0,Nigeria,54157.0,1032.0,2195779.0,0.0,0.0,0.0,0.0,2250968.0
157,NIC,2019.0,Nicaragua,322.0,126.0,0.0,0.0,0.0,0.0,510.0,958.0
158,NIU,,,,,,,,,,
159,NLD,2019.0,Netherlands (Kingdom of the),94417.0,15599.0,0.0,0.0,1951.0,0.0,0.0,111967.0
160,NOR,2019.0,Norway,53882.0,1507.0,0.0,0.0,5019.0,0.0,0.0,60408.0
161,NPL,2019.0,Nepal,19570.0,57.0,0.0,0.0,0.0,0.0,534.0,20161.0
162,NRU,2019.0,Nauru,755.0,415.0,0.0,0.0,63.0,0.0,0.0,1233.0
163,NZL,2019.0,New Zealand,1709.0,558.0,0.0,0.0,5.0,0.0,0.0,2272.0
164,OMN,2019.0,Oman,308.0,254.0,0.0,0.0,0.0,0.0,0.0,562.0
165,PAK,2019.0,Pakistan,1419596.0,8528.0,100680.0,0.0,0.0,0.0,0.0,1528804.0
166,PAN,2019.0,Panama,2536.0,17673.0,0.0,115768.0,0.0,0.0,0.0,135977.0
167,PCN,,,,,,,,,,
168,PER,2019.0,Peru,2850.0,487049.0,0.0,377864.0,0.0,0.0,0.0,867763.0
169,PHL,2019.0,Philippines,680.0,319.0,178897.0,0.0,388.0,0.0,129734.0,310018.0
170,PLW,,,,,,,,,,
171,PNG,2019.0,Papua New Guinea,9698.0,132.0,0.0,0.0,9.0,0.0,0.0,9839.0
172,POL,2019.0,Poland,12658.0,4783.0,0.0,0.0,1328.0,0.0,0.0,18769.0
173,PRI,,,,,,,,,,
174,PRK,,,,,,,,,,
175,PRT,2019.0,Portugal,2375.0,1057.0,0.0,0.0,50.0,0.0,0.0,3482.0
176,PRY,2019.0,Paraguay,1014.0,680.0,0.0,3588.0,0.0,0.0,0.0,5282.0
177,PSE,,,,,,,,,,
178,PYF,,,,,,,,,,
179,QAT,2019.0,Qatar,202.0,99.0,0.0,0.0,1200.0,0.0,0.0,1501.0
180,ROU,2019.0,Romania,3860.0,916.0,0.0,0.0,290.0,0.0,0.0,5066.0
181,RUS,2019.0,Russian Federation,42413.0,1445.0,0.0,0.0,68251.0,0.0,0.0,112109.0
182,RWA,2019.0,Rwanda,145054.0,493.0,0.0,0.0,0.0,0.0,5323.0,150870.0
183,SAU,2019.0,Saudi Arabia,315.0,2327.0,0.0,0.0,70000.0,0.0,0.0,72642.0
184,SDN,2019.0,Sudan,1055489.0,15541.0,1885782.0,0.0,0.0,0.0,3691.0,2960503.0
185,SEN,2019.0,Senegal,14467.0,1791.0,0.0,0.0,0.0,0.0,0.0,16258.0
186,SGP,2019.0,Singapore,0.0,0.0,0.0,0.0,1303.0,0.0,0.0,1303.0
187,SGS,,,,,,,,,,
188,SHN,,,,,,,,,,
189,SLB,,,,,,,,,,
190,SLE,2019.0,Sierra Leone,441.0,0.0,0.0,0.0,0.0,0.0,0.0,441.0
191,SLV,2019.0,El Salvador,48.0,29.0,71500.0,0.0,0.0,0.0,6800.0,78377.0
192,SMR,,,,,,,,,,
193,SOM,2019.0,Somalia,17882.0,17789.0,2648000.0,0.0,0.0,0.0,152.0,2683823.0
194,SPM,,,,,,,,,,
195,SRB,2019.0,Serbia and Kosovo: S/RES/1244 (1999),26427.0,274.0,214696.0,0.0,1951.0,0.0,5833.0,249181.0
196,SSD,2019.0,South Sudan,298309.0,3677.0,1665815.0,0.0,0.0,0.0,10000.0,1977801.0
197,STP,,,,,,,,,,
198,SUR,2019.0,Suriname,44.0,1426.0,0.0,0.0,0.0,0.0,0.0,1470.0
199,SVK,2019.0,Slovakia,965.0,5.0,0.0,0.0,1532.0,0.0,0.0,2502.0
200,SVN,2019.0,Slovenia,741.0,308.0,0.0,0.0,5.0,0.0,0.0,1054.0
201,SWE,2019.0,Sweden,253787.0,28006.0,0.0,0.0,53729.0,0.0,0.0,335522.0
202,SWZ,2019.0,Eswatini,940.0,963.0,0.0,0.0,0.0,0.0,0.0,1903.0
203,SXM,2019.0,Sint Maarten (Dutch part),5.0,5.0,0.0,0.0,0.0,0.0,0.0,10.0
204,SYC,,,,,,,,,,
