,ISO_A3,Year,Origin,Refugees,Asylum-seekers,IDPs,Others in need,Stateless,Host Community,Others of concern,Displaced
0,-99,,,,,,,,,,
1,ABW,,,,,,,,,,
2,AFG,2018.0,Afghanistan,2681267.0,310107.0,2106893.0,0.0,0.0,0.0,489859.0,5588126.0
3,AGO,2018.0,Angola,8243.0,8904.0,0.0,0.0,0.0,0.0,18020.0,35167.0
4,AIA,,,,,,,,,,
5,ALA,,,,,,,,,,
6,ALB,2018.0,Albania,13512.0,21071.0,0.0,0.0,0.0,0.0,0.0,34583.0
7,AND,,,,,,,,,,
8,ARE,2018.0,United Arab Emirates,169.0,272.0,0.0,0.0,0.0,0.0,0.0,441.0
9,ARG,2018.0,Argentina,112.0,489.0,0.0,0.0,0.0,0.0,0.0,601.0
10,ARM,2018.0,Armenia,11040.0,13697.0,0.0,0.0,0.0,0.0,5.0,24742.0
11,ASM,,,,,,,,,,
12,ATA,,,,,,,,,,
13,ATF,,,,,,,,,,
14,ATG,2018.0,Antigua and Barbuda,107.0,47.0,0.0,0.0,0.0,0.0,0.0,154.0
15,AUS,2018.0,Australia,10.0,17.0,0.0,0.0,0.0,0.0,0.0,27.0
16,AUT,2018.0,Austria,24.0,10.0,0.0,0.0,0.0,0.0,0.0,34.0
17,AZE,2018.0,Azerbaijan,11246.0,9318.0,620423.0,0.0,0.0,0.0,0.0,640987.0
18,BDI,2018.0,Burundi,387850.0,53360.0,31909.0,0.0,0.0,0.0,14148.0,487267.0
19,BEL,2018.0,Belgium,50.0,79.0,0.0,0.0,0.0,0.0,0.0,129.0
20,BEN,2018.0,Benin,659.0,1078.0,0.0,0.0,0.0,0.0,6.0,1743.0
21,BFA,2018.0,Burkina Faso,11447.0,4949.0,47030.0,0.0,0.0,0.0,0.0,63426.0
22,BGD,2018.0,Bangladesh,21022.0,58843.0,0.0,0.0,0.0,0.0,8.0,79873.0
23,BGR,2018.0,Bulgaria,620.0,367.0,0.0,0.0,0.0,0.0,0.0,987.0
24,BHR,2018.0,Bahrain,540.0,136.0,0.0,0.0,0.0,0.0,0.0,676.0
25,BHS,2018.0,Bahamas,421.0,391.0,0.0,0.0,0.0,0.0,0.0,812.0
26,BIH,2018.0,Bosnia and Herzegovina,16956.0,1619.0,96830.0,0.0,0.0,0.0,48907.0,164312.0
27,BLM,,,,,,,,,,
28,BLR,2018.0,Belarus,3526.0,3282.0,0.0,0.0,0.0,0.0,0.0,6808.0
29,BLZ,2018.0,Belize,68.0,219.0,0.0,0.0,0.0,0.0,0.0,287.0
30,BMU,,,,,,,,,,
31,BOL,2018.0,Bolivia (Plurinational State of),502.0,1004.0,0.0,0.0,0.0,0.0,0.0,1506.0
32,BRA,2018.0,Brazil,1038.0,8570.0,0.0,0.0,0.0,0.0,0.0,9608.0
33,BRB,2018.0,Barbados,211.0,81.0,0.0,0.0,0.0,0.0,0.0,292.0
34,BRN,,,,,,,,,,
35,BTN,2018.0,Bhutan,7100.0,390.0,0.0,0.0,0.0,0.0,0.0,7490.0
36,BWA,2018.0,Botswana,289.0,89.0,0.0,0.0,0.0,0.0,0.0,378.0
37,CAF,2018.0,Central African Rep.,590858.0,17278.0,640970.0,0.0,0.0,0.0,21697.0,1270803.0
38,CAN,2018.0,Canada,81.0,79.0,0.0,0.0,0.0,0.0,0.0,160.0
39,CHE,2018.0,Switzerland,5.0,13.0,0.0,0.0,0.0,0.0,0.0,18.0
40,CHL,2018.0,Chile,479.0,514.0,0.0,0.0,0.0,0.0,0.0,993.0
41,CHN,2018.0,China,212039.0,94351.0,0.0,0.0,0.0,0.0,0.0,306390.0
42,CIV,2018.0,Cote d'Ivoire,38316.0,22855.0,0.0,0.0,0.0,0.0,16.0,61187.0
43,CMR,2018.0,Cameroon,45118.0,18638.0,668494.0,0.0,0.0,0.0,11.0,732261.0
44,COD,2018.0,Dem. Rep. of the Congo,720302.0,133422.0,4516866.0,0.0,0.0,0.0,10862.0,5381452.0
45,COG,2018.0,Congo,13354.0,11762.0,138000.0,0.0,0.0,0.0,92.0,163208.0
46,COK,,,,,,,,,,
47,COL,2018.0,Colombia,138583.0,45674.0,7816473.0,0.0,0.0,0.0,0.0,8000730.0
48,COM,2018.0,Comoros,624.0,500.0,0.0,0.0,0.0,0.0,0.0,1124.0
49,CPV,2018.0,Cabo Verde,10.0,206.0,0.0,0.0,0.0,0.0,0.0,216.0
50,CRI,2018.0,Costa Rica,207.0,548.0,0.0,0.0,0.0,0.0,0.0,755.0
51,CUB,2018.0,Cuba,5488.0,26597.0,0.0,0.0,0.0,0.0,0.0,32085.0
52,CUW,2018.0,Curacao ,35.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0
53,CYM,2018.0,Cayman Islands,6.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
54,CYP,2018.0,Cyprus,7.0,20.0,0.0,0.0,0.0,0.0,0.0,27.0
55,CZE,2018.0,Czechia,1236.0,224.0,0.0,0.0,0.0,0.0,0.0,1460.0
56,DEU,2018.0,Germany,61.0,176.0,0.0,0.0,0.0,0.0,0.0,237.0
57,DJI,2018.0,Djibouti,2124.0,1100.0,0.0,0.0,0.0,0.0,0.0,3224.0
58,DMA,2018.0,Dominica,36.0,56.0,0.0,0.0,0.0,0.0,0.0,92.0
59,DNK,2018.0,Denmark,0.0,35.0,0.0,0.0,0.0,0.0,0.0,35.0
