,ISO_A3,Year,Origin,Refugees,Asylum-seekers,IDPs,Others in need,Stateless,Host Community,Others of concern,Displaced
0,-99,,,,,,,,,,
66,ESP,2021.0,Spain,55.0,423.0,0.0,0.0,0.0,0.0,0.0,478.0
67,EST,2021.0,Estonia,271.0,48.0,0.0,0.0,0.0,0.0,0.0,319.0
68,ETH,2021.0,Ethiopia,149130.0,139211.0,3646267.0,0.0,0.0,84953.0,3918.0,4023479.0
69,FIN,2021.0,Finland,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
70,FJI,2021.0,Fiji,414.0,2997.0,0.0,0.0,0.0,0.0,0.0,3411.0
71,FLK,,,,,,,,,,
72,FRA,2021.0,France,38.0,279.0,0.0,0.0,0.0,0.0,0.0,317.0
73,FRO,,,,,,,,,,
74,FSM,,,,,,,,,,
75,GAB,2021.0,Gabon,620.0,902.0,0.0,0.0,0.0,0.0,0.0,1522.0
76,GBR,2021.0,United Kingdom of Great Britain and Northern Ireland,101.0,277.0,0.0,0.0,0.0,0.0,0.0,378.0
77,GEO,2021.0,Georgia,9754.0,16648.0,290156.0,0.0,0.0,0.0,0.0,316558.0
78,GGY,,,,,,,,,,
79,GHA,2021.0,Ghana,14251.0,9177.0,0.0,0.0,0.0,0.0,17.0,23445.0
80,GIB,,,,,,,,,,
81,GIN,2021.0,Guinea,34403.0,26458.0,0.0,0.0,0.0,0.0,140.0,61001.0
82,GMB,2021.0,Gambia,11042.0,5731.0,0.0,0.0,0.0,0.0,59.0,16832.0
83,GNB,2021.0,Guinea-Bissau,2039.0,2546.0,0.0,0.0,0.0,0.0,0.0,4585.0
84,GNQ,2021.0,Equatorial Guinea,168.0,235.0,0.0,0.0,0.0,0.0,0.0,403.0
85,GRC,2021.0,Greece,87.0,171.0,0.0,0.0,0.0,0.0,0.0,258.0
86,GRD,2021.0,Grenada,52.0,97.0,0.0,0.0,0.0,0.0,0.0,149.0
87,GRL,,,,,,,,,,
88,GTM,2021.0,Guatemala,26927.0,160428.0,0.0,0.0,0.0,406161.0,149455.0,742971.0
89,GUM,,,,,,,,,,
90,GUY,2021.0,Guyana,285.0,856.0,0.0,0.0,0.0,5892.0,0.0,7033.0
91,HKG,2021.0,"China, Hong Kong SAR",96.0,816.0,0.0,0.0,0.0,0.0,0.0,912.0
92,HMD,,,,,,,,,,
93,HND,2021.0,Honduras,51687.0,169994.0,247090.0,0.0,0.0,0.0,48926.0,517697.0
94,HRV,2021.0,Croatia,18083.0,51.0,0.0,0.0,0.0,0.0,214.0,18348.0
95,HTI,2021.0,Haiti,29454.0,135565.0,0.0,0.0,0.0,0.0,19385.0,184404.0
96,HUN,2021.0,Hungary,4653.0,608.0,0.0,0.0,0.0,0.0,0.0,5261.0
97,IDN,2021.0,Indonesia,13962.0,5872.0,0.0,0.0,0.0,0.0,276.0,20110.0
98,IMN,,,,,,,,,,
99,IND,2021.0,India,14230.0,78360.0,0.0,0.0,0.0,0.0,255.0,92845.0
100,IOT,,,,,,,,,,
101,IRL,2021.0,Ireland,5.0,141.0,0.0,0.0,0.0,0.0,0.0,146.0
102,IRN,2021.0,Iran (Islamic Rep. of),142994.0,68940.0,0.0,0.0,0.0,0.0,287.0,212221.0
103,IRQ,2021.0,Iraq,343899.0,254454.0,1186556.0,0.0,0.0,0.0,30456.0,1815365.0
104,ISL,2021.0,Iceland,5.0,7.0,0.0,0.0,0.0,0.0,0.0,12.0
105,ISR,2021.0,Israel,453.0,807.0,0.0,0.0,0.0,0.0,0.0,1260.0
106,ITA,2021.0,Italy,61.0,639.0,0.0,0.0,0.0,0.0,0.0,700.0
107,JAM,2021.0,Jamaica,2419.0,2305.0,0.0,0.0,0.0,0.0,0.0,4724.0
108,JEY,,,,,,,,,,
109,JOR,2021.0,Jordan,2981.0,5795.0,0.0,0.0,0.0,0.0,873.0,9649.0
110,JPN,2021.0,Japan,39.0,134.0,0.0,0.0,0.0,0.0,0.0,173.0
111,KAZ,2021.0,Kazakhstan,3198.0,5925.0,0.0,0.0,0.0,0.0,0.0,9123.0
112,KEN,2021.0,Kenya,7529.0,9727.0,0.0,0.0,0.0,154150.0,5.0,171411.0
113,KGZ,2021.0,Kyrgyzstan,3035.0,2785.0,0.0,0.0,0.0,0.0,0.0,5820.0
114,KHM,2021.0,Cambodia,12072.0,893.0,0.0,0.0,0.0,0.0,0.0,12965.0
115,KIR,2021.0,Kiribati,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0
116,KNA,2021.0,Saint Kitts and Nevis,47.0,32.0,0.0,0.0,0.0,0.0,0.0,79.0
117,KOR,2021.0,Rep. of Korea,117.0,893.0,0.0,0.0,0.0,0.0,0.0,1010.0
118,KWT,2021.0,Kuwait,1702.0,1857.0,0.0,0.0,0.0,0.0,5.0,3564.0
119,LAO,2021.0,Lao People's Dem. Rep.,6778.0,474.0,0.0,0.0,0.0,0.0,0.0,7252.0
120,LBN,2021.0,Lebanon,6061.0,8873.0,0.0,0.0,0.0,0.0,11663.0,26597.0
121,LBR,2021.0,Liberia,5384.0,3090.0,0.0,0.0,0.0,0.0,46.0,8520.0
122,LBY,2021.0,Libya,19090.0,5717.0,179047.0,0.0,0.0,0.0,50.0,203904.0
123,LCA,2021.0,Saint Lucia,457.0,91.0,0.0,0.0,0.0,0.0,0.0,548.0
124,LIE,2021.0,Liechtenstein,5.0,5.0,0.0,0.0,0.0,0.0,0.0,10.0
125,LKA,2021.0,Sri Lanka,151112.0,12209.0,8767.0,0.0,0.0,0.0,16.0,172104.0
126,LSO,2021.0,Lesotho,6.0,41.0,0.0,0.0,0.0,0.0,0.0,47.0
127,LTU,2021.0,Lithuania,54.0,114.0,0.0,0.0,0.0,0.0,0.0,168.0
128,LUX,,,,,,,,,,
129,LVA,2021.0,Latvia,122.0,120.0,0.0,0.0,0.0,0.0,0.0,242.0
130,MAC,2021.0,"China, Macao SAR",0.0,34.0,0.0,0.0,0.0,0.0,0.0,34.0
131,MAF,,,,,,,,,,
132,MAR,2021.0,Morocco,5385.0,12632.0,0.0,0.0,0.0,0.0,99.0,18116.0
133,MCO,,,,,,,,,,
134,MDA,2021.0,Rep. of Moldova,2190.0,6881.0,0.0,0.0,0.0,0.0,0.0,9071.0
135,MDG,2021.0,Madagascar,425.0,373.0,0.0,0.0,0.0,0.0,10.0,808.0
136,MDV,2021.0,Maldives,80.0,21.0,0.0,0.0,0.0,0.0,0.0,101.0
137,MEX,2021.0,Mexico,16403.0,117936.0,0.0,0.0,0.0,0.0,0.0,134339.0
138,MHL,2021.0,Marshall Islands,7.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
139,MKD,2021.0,North Macedonia,1842.0,3982.0,116.0,0.0,0.0,0.0,5.0,5945.0
140,MLI,2021.0,Mali,183392.0,24287.0,350110.0,0.0,0.0,0.0,26.0,557815.0
141,MLT,2021.0,Malta,7.0,5.0,0.0,0.0,0.0,0.0,0.0,12.0
142,MMR,2021.0,Myanmar,1177327.0,43878.0,671011.0,0.0,0.0,0.0,198.0,1892414.0
143,MNE,2021.0,Montenegro,623.0,809.0,0.0,0.0,0.0,0.0,0.0,1432.0
144,MNG,2021.0,Mongolia,2508.0,4673.0,0.0,0.0,0.0,0.0,5.0,7186.0
145,MNP,,,,,,,,,,
146,MOZ,2021.0,Mozambique,90.0,8720.0,744949.0,0.0,0.0,0.0,9.0,753768.0
147,MRT,2021.0,Mauritania,39279.0,8705.0,0.0,0.0,0.0,0.0,0.0,47984.0
148,MSR,,,,,,,,,,
149,MUS,2021.0,Mauritius,198.0,351.0,0.0,0.0,0.0,0.0,0.0,549.0
150,MWI,2021.0,Malawi,513.0,2018.0,0.0,0.0,0.0,0.0,0.0,2531.0
151,MYS,2021.0,Malaysia,1182.0,20855.0,0.0,0.0,0.0,0.0,0.0,22037.0
152,NAM,2021.0,Namibia,441.0,915.0,0.0,0.0,0.0,0.0,40.0,1396.0
153,NCL,,,,,,,,,,
154,NER,2021.0,Niger,21901.0,2686.0,224016.0,0.0,0.0,0.0,37305.0,285908.0
155,NFK,,,,,,,,,,
156,NGA,2021.0,Nigeria,383660.0,83105.0,3084916.0,0.0,0.0,0.0,18.0,3551699.0
157,NIC,2021.0,Nicaragua,11041.0,164019.0,0.0,0.0,0.0,0.0,29390.0,204450.0
158,NIU,2021.0,Niue,11.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0
159,NLD,2021.0,Netherlands (Kingdom of the),58.0,93.0,0.0,0.0,0.0,0.0,0.0,151.0
160,NOR,2021.0,Norway,5.0,23.0,0.0,0.0,0.0,0.0,0.0,28.0
161,NPL,2021.0,Nepal,7029.0,11329.0,0.0,0.0,0.0,0.0,363.0,18721.0
162,NRU,2021.0,Nauru,5.0,16.0,0.0,0.0,0.0,0.0,0.0,21.0
163,NZL,2021.0,New Zealand,33.0,69.0,0.0,0.0,0.0,0.0,0.0,102.0
164,OMN,2021.0,Oman,53.0,71.0,0.0,0.0,0.0,0.0,783.0,907.0
165,PAK,2021.0,Pakistan,132818.0,56687.0,98898.0,0.0,0.0,1224393.0,6344.0,1519140.0
166,PAN,2021.0,Panama,118.0,512.0,0.0,0.0,0.0,14521.0,0.0,15151.0
167,PCN,,,,,,,,,,
168,PER,2021.0,Peru,3521.0,9046.0,0.0,0.0,0.0,500353.0,0.0,512920.0
169,PHL,2021.0,Philippines,521.0,5525.0,105214.0,0.0,0.0,0.0,183651.0,294911.0
170,PLW,,,,,,,,,,
171,PNG,2021.0,Papua New Guinea,507.0,636.0,24000.0,0.0,0.0,0.0,0.0,25143.0
172,POL,2021.0,Poland,887.0,1056.0,0.0,0.0,0.0,0.0,0.0,1943.0
173,PRI,,,,,,,,,,
174,PRK,2021.0,Dem. People's Rep. of Korea,528.0,108.0,0.0,0.0,0.0,0.0,0.0,636.0
175,PRT,2021.0,Portugal,26.0,439.0,0.0,0.0,0.0,0.0,0.0,465.0
176,PRY,2021.0,Paraguay,125.0,1102.0,0.0,0.0,0.0,0.0,0.0,1227.0
177,PSE,2021.0,Palestinian,103581.0,9645.0,0.0,0.0,0.0,0.0,1109.0,114335.0
178,PYF,,,,,,,,,,
179,QAT,2021.0,Qatar,47.0,35.0,0.0,0.0,0.0,0.0,0.0,82.0
180,ROU,2021.0,Romania,1417.0,4452.0,0.0,0.0,0.0,0.0,0.0,5869.0
181,RUS,2021.0,Russian Federation,68547.0,42959.0,0.0,0.0,0.0,0.0,0.0,111506.0
182,RWA,2021.0,Rwanda,248219.0,23523.0,0.0,0.0,0.0,8165.0,13564.0,293471.0
183,SAU,2021.0,Saudi Arabia,2167.0,1541.0,0.0,0.0,0.0,0.0,32.0,3740.0
184,SDN,2021.0,Sudan,825290.0,75164.0,3036590.0,0.0,0.0,0.0,301.0,3937345.0
185,SEN,2021.0,Senegal,15129.0,17466.0,0.0,0.0,0.0,0.0,0.0,32595.0
186,SGP,2021.0,Singapore,34.0,100.0,0.0,0.0,0.0,0.0,0.0,134.0
187,SGS,,,,,,,,,,
188,SHN,,,,,,,,,,
189,SLB,2021.0,Solomon Islands,38.0,314.0,1000.0,0.0,0.0,0.0,0.0,1352.0
190,SLE,2021.0,Sierra Leone,6615.0,5685.0,0.0,0.0,0.0,0.0,5.0,12305.0
191,SLV,2021.0,El Salvador,52041.0,153246.0,71500.0,0.0,0.0,391.0,55583.0,332761.0
192,SMR,,,,,,,,,,
193,SOM,2021.0,Somalia,776678.0,59605.0,2967500.0,0.0,0.0,0.0,47.0,3803830.0
194,SPM,,,,,,,,,,
195,SRB,2021.0,Serbia and Kosovo: S/RES/1244 (1999),31735.0,6708.0,211823.0,0.0,0.0,0.0,138.0,250404.0
196,SSD,2021.0,South Sudan,2362759.0,5037.0,2017236.0,0.0,0.0,250000.0,74.0,4635106.0
197,STP,2021.0,Sao Tome and Principe,6.0,25.0,0.0,0.0,0.0,0.0,0.0,31.0
198,SUR,2021.0,Suriname,22.0,118.0,0.0,0.0,0.0,0.0,0.0,140.0
199,SVK,2021.0,Slovakia,1426.0,171.0,0.0,0.0,0.0,0.0,0.0,1597.0
200,SVN,2021.0,Slovenia,17.0,10.0,0.0,0.0,0.0,0.0,0.0,27.0
201,SWE,2021.0,Sweden,9.0,43.0,0.0,0.0,0.0,0.0,0.0,52.0
202,SWZ,2021.0,Eswatini,165.0,80.0,0.0,0.0,0.0,0.0,10.0,255.0
203,SXM,,,,,,,,,,
204,SYC,2021.0,Seychelles,14.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0
205,SYR,2021.0,Syrian Arab Rep.,6848865.0,139754.0,6865308.0,0.0,0.0,0.0,3132.0,13857059.0
206,TCA,2021.0,Turks and Caicos Islands,14.0,5.0,0.0,0.0,0.0,0.0,0.0,19.0
207,TCD,2021.0,Chad,11771.0,7572.0,406573.0,0.0,0.0,0.0,107029.0,532945.0
208,TGO,2021.0,Togo,7985.0,2984.0,0.0,0.0,0.0,0.0,25.0,10994.0
209,THA,2021.0,Thailand,181.0,3230.0,0.0,0.0,0.0,0.0,0.0,3411.0
210,TJK,2021.0,Tajikistan,2412.0,2023.0,0.0,0.0,0.0,0.0,0.0,4435.0
211,TKM,2021.0,Turkmenistan,563.0,722.0,0.0,0.0,0.0,0.0,0.0,1285.0
212,TLS,2021.0,Timor-Leste,11.0,368.0,0.0,0.0,0.0,0.0,0.0,379.0
213,TON,2021.0,Tonga,28.0,816.0,0.0,0.0,0.0,0.0,0.0,844.0
214,TTO,2021.0,Trinidad and Tobago,285.0,508.0,0.0,0.0,0.0,4605.0,590.0,5988.0
215,TUN,2021.0,Tunisia,2201.0,4012.0,0.0,0.0,0.0,0.0,9.0,6222.0
216,TUR,2021.0,Türkiye,105019.0,46327.0,0.0,0.0,0.0,0.0,122.0,151468.0
217,TUV,,,,,,,,,,
218,TWN,,,,,,,,,,
219,TZA,2021.0,United Rep. of Tanzania,752.0,1841.0,0.0,0.0,0.0,0.0,33.0,2626.0
220,UGA,2021.0,Uganda,7887.0,11824.0,0.0,0.0,0.0,2428906.0,10.0,2448627.0
221,UKR,2021.0,Ukraine,27562.0,19426.0,854000.0,0.0,0.0,0.0,1424805.0,2325793.0
222,UMI,,,,,,,,,,
223,URY,2021.0,Uruguay,45.0,648.0,0.0,0.0,0.0,0.0,0.0,693.0
